Wall time,Step,Value
1657715041.065523,0,2.6227753162384033
1657715379.335595,1,0.7074944972991943
1657715714.081362,2,0.2867524325847626
1657716048.316316,3,0.15042108297348022
1657716382.497082,4,0.0892169252038002
1657716716.007016,5,0.0542592853307724
1657717048.309012,6,0.034379102289676666
1657717382.954272,7,0.020258361473679543
1657717716.84912,8,0.015351541340351105
1657718061.82641,9,0.008157250471413136
1657718396.593761,10,0.006598365027457476
1657718735.044853,11,0.003664940595626831
1657719070.452737,12,0.0029930470045655966
1657719404.848018,13,0.006322689354419708
1657719745.579591,14,0.002192229498177767
