Wall time,Step,Value
1657715041.066475,0,0.3289034962654114
1657715379.336568,1,0.8232894539833069
1657715714.082219,2,0.9273684024810791
1657716048.317302,3,0.9586403369903564
1657716382.498006,4,0.9782017469406128
1657716716.007948,5,0.9876315593719482
1657717048.309948,6,0.9922807216644287
1657717382.955248,7,0.9960964918136597
1657717716.849987,8,0.9971491098403931
1657718061.829298,9,0.9988596439361572
1657718396.594672,10,0.9991227984428406
1657718735.047416,11,0.9996491074562073
1657719070.453813,12,0.999692976474762
1657719404.849169,13,0.9983772039413452
1657719745.580534,14,0.9997807145118713
