Wall time,Step,Value
1663584864.184264,0,0.3497660756111145
1663585146.483811,1,0.7785526514053345
1663585427.55487,2,0.87501460313797
1663585711.483042,3,0.9187134504318237
1663585996.890871,4,0.9428800940513611
1663586281.197677,5,0.9606432914733887
1663586559.791178,6,0.9711257219314575
1663586834.079619,7,0.9780555367469788
1663587127.864681,8,0.9832017421722412
1663587410.75584,9,0.9867397546768188
1663587699.045524,10,0.989078938961029
1663587984.240018,11,0.9906871318817139
1663588261.364265,12,0.9917397499084473
1663588541.94922,13,0.992222249507904
1663588832.586927,14,0.9937719106674194
